cluster,pickup_zone_name,count,rank,cluster_total,pct_within_cluster,pct_top_n_share
0,Union Sq,121091,1,3001834,4.0339006087611775,11.17698422368183
0,Upper East Side South,121046,2,3001834,4.032401525200927,11.172830617798109
0,Murray Hill,116735,3,3001834,3.888789320128961,10.77491517413762
0,East Village,112155,4,3001834,3.7362159266634998,10.352170397527773
0,Midtown Center,109277,5,3001834,3.6403412047435,10.08652422567556
0,Midtown East,108987,6,3001834,3.630680444021888,10.059756543313803
0,Upper East Side North,107024,7,3001834,3.565287087826975,9.878567024430588
0,Gramercy,97596,8,3001834,3.251212425470562,9.008340440614512
0,Penn Station/Madison Sq West,95294,9,3001834,3.1745259731217645,8.795860424073929
0,Lincoln Square East,94191,10,3001834,3.137781769411633,8.694050928746275
1,LaGuardia Airport,104331,1,328323,31.776939172704928,43.071403801377215
1,JFK Airport,89632,2,328323,27.299945480517664,37.003154053206075
1,Times Sq/Theatre District,8298,3,328323,2.52738918686781,3.425698102614066
1,Midtown East,7896,4,328323,2.404948785190194,3.2597387585250264
1,Midtown Center,7775,5,328323,2.3680948334414587,3.209785821622604
1,Murray Hill,6754,6,328323,2.0571205794294034,2.7882821143715835
1,Midtown South,5161,7,328323,1.571927644423327,2.1306372508545666
1,Midtown North,4397,8,328323,1.3392299656131308,1.8152319302475355
1,Clinton East,3995,9,328323,1.2167895639355146,1.6492725861584951
1,UN/Turtle Bay South,3989,10,328323,1.2149620952537592,1.646795581022838
2,East Village,20074,1,506271,3.9650700909196854,11.539965047829286
2,Union Sq,19231,2,506271,3.79855847954949,11.055348601913172
2,Upper East Side South,18333,3,506271,3.6211831212927468,10.539114238410596
2,Murray Hill,18202,4,506271,3.5953076514356934,10.463806107431935
2,Midtown East,17438,5,506271,3.444400331047996,10.024604488594555
2,Upper East Side North,17257,6,506271,3.408648727657717,9.920552796173657
2,Midtown Center,17204,7,506271,3.398180026112497,9.890084621044885
2,Gramercy,15803,8,506271,3.1214507645114966,9.084690029433407
2,Clinton East,15441,9,506271,3.0499475577309387,8.876586644591612
2,Penn Station/Madison Sq West,14969,10,506271,2.9567168571772826,8.605247424576895
3,East Village,49629,1,1163572,4.26522810792972,14.094863209194934
3,Union Sq,37588,2,1163572,3.230397431357922,10.675164083645027
3,TriBeCa/Civic Center,34880,3,1163572,2.9976658083900265,9.906079686004539
3,Clinton East,34597,4,1163572,2.97334415059833,9.825706390387014
3,Penn Station/Madison Sq West,34214,5,1163572,2.9404282674385427,9.716932636954107
3,Upper East Side North,33814,6,1163572,2.90605136596618,9.603330805692588
3,Midtown East,33703,7,1163572,2.8965117758075993,9.571806297517515
3,Murray Hill,32338,8,1163572,2.7792005995331617,9.184140048337579
3,Upper East Side South,30770,9,1163572,2.6444431457615,8.738820869792422
3,East Chelsea,30574,10,1163572,2.6275984640400423,8.683155972474276
